rm,lstat,ptratio,dis,nox,crim,tax,age,price
6.575,4.98,15.3,4.09,0.538,0.00632,296,65.2,24.0
6.421,9.14,17.8,4.9671,0.469,0.02731,242,78.9,21.6
7.185,4.03,17.8,4.9671,0.469,0.02729,242,61.1,34.7
6.998,2.94,18.7,6.0622,0.458,0.03237,222,45.8,33.4
7.147,11.43,18.7,6.0622,0.458,0.06905,222,54.2,36.2
6.43,5.21,18.7,6.0622,0.458,0.02985,222,58.7,28.7
6.012,12.43,15.2,5.5605,0.524,0.08829,311,66.6,22.9
6.172,19.15,15.2,5.9505,0.524,0.14455,311,96.1,27.1
5.631,29.93,15.2,6.0821,0.524,0.21124,311,100.0,16.5
6.004,17.1,15.2,6.5921,0.524,0.17004,311,85.9,18.9
6.377,20.45,15.2,6.3467,0.524,0.22489,311,94.3,15.0
6.009,13.27,15.2,6.2267,0.524,0.11747,311,82.9,18.9
5.889,15.71,15.2,5.4509,0.524,0.09378,311,39.0,21.7
5.949,8.26,21.0,4.7075,0.538,0.62976,307,61.8,20.4
6.096,10.26,21.0,4.4619,0.538,0.63796,307,84.5,18.2
5.834,8.47,21.0,4.4986,0.538,0.62739,307,56.5,19.9
5.935,6.58,21.0,4.4986,0.538,1.05393,307,29.3,23.1
5.99,14.67,21.0,4.2579,0.538,0.7842,307,81.7,17.5
5.456,11.69,21.0,3.7965,0.538,0.80271,307,36.6,20.2
5.727,11.28,21.0,3.7965,0.538,0.7258,307,69.5,18.2
5.57,21.02,21.0,3.7979,0.538,1.25179,307,98.1,13.6
5.965,13.83,21.0,4.0123,0.538,0.85204,307,89.2,19.6
6.142,18.72,21.0,3.9769,0.538,1.23247,307,91.7,15.2
5.813,19.88,21.0,4.0952,0.538,0.98843,307,100.0,14.5
5.924,16.3,21.0,4.3996,0.538,0.75026,307,94.1,15.6
5.599,16.51,21.0,4.4546,0.538,0.84054,307,85.7,13.9
5.813,14.81,21.0,4.682,0.538,0.67191,307,90.3,16.6
6.047,17.28,21.0,4.4534,0.538,0.95577,307,88.8,14.8
6.495,12.8,21.0,4.4547,0.538,0.77299,307,94.4,18.4
6.674,11.98,21.0,4.239,0.538,1.00245,307,87.3,21.0
5.713,22.6,21.0,4.233,0.538,1.13081,307,94.1,12.7
6.072,13.04,21.0,4.175,0.538,1.35472,307,100.0,14.5
5.95,27.71,21.0,3.99,0.538,1.38799,307,82.0,13.2
5.701,18.35,21.0,3.7872,0.538,1.15172,307,95.0,13.1
6.096,20.34,21.0,3.7598,0.538,1.61282,307,96.9,13.5
5.933,11.43,19.2,3.3603,0.499,0.06417,279,68.2,18.9
5.841,11.41,19.2,3.3779,0.499,0.09744,279,61.4,20.0
5.85,8.77,19.2,3.9342,0.499,0.08014,279,41.5,21.0
5.966,10.13,19.2,3.8473,0.499,0.17505,279,30.2,24.7
6.595,4.32,18.3,5.4011,0.428,0.02763,252,21.8,30.8
7.024,1.98,18.3,5.4011,0.428,0.03359,252,15.8,34.9
6.77,4.84,17.9,5.7209,0.448,0.12744,233,2.9,26.6
6.169,5.81,17.9,5.7209,0.448,0.1415,233,6.6,25.3
6.211,7.44,17.9,5.7209,0.448,0.15936,233,6.5,24.7
6.069,9.55,17.9,5.7209,0.448,0.12269,233,40.0,21.2
5.682,10.21,17.9,5.1004,0.448,0.17142,233,33.8,19.3
5.786,14.15,17.9,5.1004,0.448,0.18836,233,33.3,20.0
6.03,18.8,17.9,5.6894,0.448,0.22927,233,85.5,16.6
5.399,30.81,17.9,5.87,0.448,0.25387,233,95.3,14.4
5.602,16.2,17.9,6.0877,0.448,0.21977,233,62.0,19.4
5.963,13.45,16.8,6.8147,0.439,0.08873,243,45.7,19.7
6.115,9.43,16.8,6.8147,0.439,0.04337,243,63.0,20.5
6.511,5.28,16.8,6.8147,0.439,0.0536,243,21.1,25.0
5.998,8.43,16.8,6.8147,0.439,0.253715,243,21.4,23.4
5.888,14.8,21.1,7.3197,0.41,0.0136,469,47.6,18.9
7.249,4.81,17.9,8.6966,0.403,0.01311,226,21.9,35.4
6.383,5.77,17.3,9.1876,0.41,0.02055,313,35.7,24.7
6.816,3.95,15.1,8.3248,0.411,0.01432,256,40.5,31.6
